type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
HN01,0.63419324,-0.09608379,0.07333195,0.49846226,0.3545648,-0.46016285,-0.18775688,0.11024333,-0.3264565,-0.09171317,-0.39567533,0.077292494,-0.044040903,0.80570763,-0.080215186,0.154938,-0.02635217,0.24922627,-0.08486167,-0.49612808,-0.28814217,0.6257958,0.39645553,-0.08896255,-0.8307648,0.3690011,0.9247175,0.34909236,-0.35551766,-0.15853427,0.5822878,0.21443275,0.38913712,0.418382,-0.27927458,-0.25822785,-0.14319548,0.32336628,-0.07501523,-0.111694306,-0.7580956,-0.0007214325,0.56838125,-0.43967125,-0.23110835,-0.4842218,-0.2285722,0.0009865228,0.045582473,-0.20322637,-0.13491322,0.10161545,0.06367551,0.104905106,-0.21683016,-0.2854879,-0.1593814,0.11265155,0.24350671,-0.5892876,-0.23915598,-0.19633572,-0.14077063,0.049373087,-0.060772497,0.09973457,-0.17087452,-0.2524222,-0.0053990344,-0.52293146,0.13195397,0.19606292,0.13392718,-0.15302433,0.010351428,0.12574193,-0.2785341,0.40621904,-0.15742946,0.17052658,-0.09256257,-0.32201356,0.5507407,0.017133495,-0.53740895,-0.21231483,0.16694877,-0.11578345,0.21375567,-0.05784655,0.104734235,-0.04192545,-0.33558986,-0.20156464,-0.32492974,-0.3113438,0.2288358,0.6198736,-0.039844554,-0.11707688,0.18401168,0.04456185,-0.43948197,0.020529447,-0.30757946,-0.005887672,0.16128828,-0.18953577,0.22450249,-0.19442055,-0.046188857,-0.036359254,0.35160822,-0.378716,0.27910218,-0.059557237,-0.01910404,0.00020599895,-0.19822328,0.6260524,0.18638766,0.24129704,-0.30281267,0.26904887,-0.11135974,-0.07631438,-0.7551668,-0.011305129
HN05,0.5990343,-0.24664795,0.055364452,0.36662716,0.19587125,-0.36311564,-0.24613762,0.1718853,-0.2549924,-0.077327676,-0.44462985,0.04609458,0.0165017,0.5555125,-0.066867284,0.1018057,-0.06454668,0.24752922,-0.067518376,-0.5016276,-0.1505255,0.5229017,0.29669303,-0.021933073,-0.6301875,0.21903206,0.73974735,0.24547502,-0.17642452,-0.13339667,0.47984487,0.32452062,0.15160625,0.37615567,-0.12346523,-0.26014027,-0.10982766,0.29445165,0.05846284,-0.19904941,-0.5035858,-0.16425341,0.38390428,-0.4542194,-0.262987,-0.23537815,-0.11465593,0.06957717,0.04386024,-0.063847624,-0.17129813,0.15719333,0.21746744,0.13946639,-0.14330085,-0.38924253,-0.25432786,0.11218619,0.0735984,-0.44162703,-0.35481942,-0.072911344,-0.070420645,-0.042280618,0.053391468,0.047018547,-0.1752536,-0.18259104,0.06935902,-0.42453215,0.07364672,0.22542642,0.14246452,-0.060674522,-0.034819923,0.0981618,-0.32033852,0.26632267,-0.13069446,0.010687281,-0.07057905,-0.172512,0.4468865,0.028990064,-0.4319887,-0.269295,0.18989284,-0.090117425,0.13546659,-0.07159117,0.13970125,-0.06647469,-0.43054283,-0.28359258,-0.27981287,-0.22067478,0.32870716,0.5888219,-0.05666347,-0.07500159,0.10854027,0.057371996,-0.4069323,-0.03698722,-0.26769006,-0.045955695,0.06593992,-0.18574826,0.13952476,-0.114436574,0.09844818,-0.076873235,0.22032735,-0.23777051,0.2748349,-0.11057526,0.03284564,0.101016335,-0.1676545,0.60804266,0.267499,0.24665613,-0.26578414,0.22050984,0.055365615,-0.052529685,-0.63777727,0.083590515
HN06,0.5731293,-0.18649568,0.074679874,0.40463704,0.23366262,-0.40031618,-0.21696252,0.18061176,-0.2691178,-0.06702293,-0.39134297,0.05488015,0.013221314,0.629432,-0.09556636,0.13074352,-0.03663673,0.25413743,-0.05946201,-0.49872974,-0.17508379,0.5212291,0.31057194,-0.040768802,-0.70516473,0.30879548,0.76658726,0.2925719,-0.18992348,-0.12841386,0.5058254,0.28986338,0.22375429,0.35961935,-0.1792802,-0.25120062,-0.11244513,0.2727639,-0.0009505815,-0.1615379,-0.56708455,-0.12447105,0.4213502,-0.44834504,-0.22520609,-0.3310976,-0.12545413,0.039148156,0.04228613,-0.073842674,-0.17589259,0.15819767,0.18503939,0.11111453,-0.13640991,-0.33426404,-0.2328956,0.14053248,0.11299668,-0.47247738,-0.34204125,-0.12961075,-0.10038626,0.003459417,0.03857612,0.072334625,-0.19734634,-0.22571015,0.05185163,-0.45251822,0.08013638,0.2318089,0.1563511,-0.03523624,-0.033827122,0.13804442,-0.28359994,0.33915076,-0.14694175,0.04345001,-0.11286784,-0.21953414,0.5059069,0.049878083,-0.45355368,-0.21906048,0.19799194,-0.11483417,0.16594146,-0.048417494,0.13508338,-0.051048614,-0.37519452,-0.27428788,-0.30783212,-0.24076174,0.3258239,0.62485874,-0.059684206,-0.042698417,0.12416899,0.03251382,-0.40399578,0.015338623,-0.2507949,-0.0028396696,0.09686068,-0.16748708,0.16273315,-0.14414993,0.011771588,-0.07189127,0.23987275,-0.28701428,0.3108694,-0.0838542,0.018246409,0.042112656,-0.18808098,0.59092313,0.2521448,0.2631755,-0.29552627,0.21667774,0.046854377,-0.031295456,-0.7055913,0.041716866
HN07,0.6246999,-0.08013253,0.077953115,0.49851862,0.33246246,-0.44541612,-0.19515488,0.15607192,-0.27615163,-0.06279782,-0.4062937,0.062421013,-0.03357089,0.7715548,-0.03911294,0.14568478,-0.012405332,0.23357326,-0.121013306,-0.4780395,-0.27911568,0.61868834,0.39814964,-0.09549051,-0.8390387,0.33930716,0.90029204,0.3542013,-0.35278627,-0.12549186,0.5583975,0.20672442,0.39154568,0.3861963,-0.2836058,-0.22436881,-0.111929044,0.28352615,-0.081557274,-0.11808418,-0.7509959,0.006223371,0.55530787,-0.4426116,-0.2416571,-0.52168447,-0.19018173,-0.06022519,0.039685085,-0.18138246,-0.15693463,0.1061406,0.07755036,0.10697603,-0.1928642,-0.32375008,-0.16780256,0.108974986,0.2662747,-0.5608499,-0.26918638,-0.18074994,-0.103848286,0.034062345,-0.085304,0.12606847,-0.19499937,-0.24683955,-0.06731675,-0.51510483,0.09941347,0.23770753,0.1629373,-0.13986766,0.034703407,0.12879172,-0.31506154,0.40197933,-0.18810791,0.16603518,-0.087746896,-0.32654184,0.5756245,0.032724567,-0.55217016,-0.23659748,0.17341402,-0.11417432,0.20650876,-0.034307107,0.06879433,-0.06577825,-0.34462753,-0.21287553,-0.31300735,-0.3628728,0.23130913,0.6470718,-0.01769429,-0.07444772,0.1914919,0.036774307,-0.39800358,0.018874723,-0.34094495,-0.037622355,0.18898334,-0.1909839,0.23197313,-0.19612435,-0.0856299,-0.050244898,0.35262936,-0.40624908,0.30517134,-0.10237282,-0.00027957608,0.01140835,-0.18440026,0.575171,0.19838642,0.25744718,-0.28955323,0.2701514,-0.08150822,-0.06433585,-0.76355314,-0.039450742
HN08,0.5821371,-0.1502345,0.06907817,0.42809477,0.2735325,-0.42123085,-0.18270265,0.13889872,-0.25143194,-0.060054325,-0.42150167,0.05346113,0.004333754,0.7042652,-0.088557325,0.14742996,-0.039436284,0.24339856,-0.07668344,-0.5020845,-0.22517444,0.57119656,0.31699562,-0.029586624,-0.74158335,0.34544295,0.8294216,0.32095304,-0.2561547,-0.14194669,0.50571376,0.2612507,0.26240423,0.36825824,-0.2065051,-0.20185715,-0.08614348,0.2543174,-0.03128758,-0.17028415,-0.6346194,-0.08542037,0.5041998,-0.46924078,-0.25380072,-0.39232895,-0.16425695,-0.020513237,0.062305067,-0.14152612,-0.16724417,0.10634481,0.16773856,0.13967884,-0.15254298,-0.33932644,-0.2245538,0.15121682,0.1668631,-0.5114822,-0.33359018,-0.13543412,-0.12074263,0.003214177,-0.030983545,0.1139395,-0.18774162,-0.22787113,-0.0018847927,-0.4582984,0.06923043,0.19028,0.11855579,-0.07341097,-0.01950134,0.1324542,-0.26508918,0.36821702,-0.12693071,0.069070466,-0.13630785,-0.2431888,0.52589196,0.015216364,-0.49712935,-0.25893357,0.17004049,-0.1243447,0.1862274,-0.07570625,0.123480625,-0.04078122,-0.34697017,-0.2799243,-0.3191936,-0.28395727,0.30098864,0.6257139,-0.00955784,-0.08509532,0.168245,0.012264543,-0.38420838,0.009264472,-0.28617543,-0.024863483,0.17313917,-0.17237633,0.20090978,-0.12657821,-0.038522836,-0.0822255,0.29308942,-0.2987576,0.32131112,-0.07745242,-0.008822689,0.01934086,-0.20460577,0.6039233,0.2397915,0.22984006,-0.2941149,0.24502657,-0.017370725,-0.024750471,-0.73473734,-0.0014608142
HN09,0.5658705,-0.15090248,0.080773994,0.41317055,0.2847417,-0.40304354,-0.22505848,0.13764206,-0.23263861,-0.083884455,-0.42750907,0.06847636,-0.026717449,0.6781218,-0.068819955,0.11419869,-0.033538707,0.24024062,-0.07559186,-0.5114824,-0.2117861,0.57080257,0.32093978,-0.050693173,-0.75781274,0.33521166,0.8306465,0.31539336,-0.26317823,-0.11277714,0.49371502,0.28040773,0.22051461,0.38565683,-0.1709317,-0.21643294,-0.10980488,0.2692239,-0.027958166,-0.18680406,-0.6102163,-0.08159386,0.45402086,-0.4492143,-0.25999212,-0.39072886,-0.18060863,-0.018282142,0.09388687,-0.105908915,-0.19879752,0.12164891,0.16286333,0.11530729,-0.14941168,-0.37746888,-0.20980974,0.12547264,0.15590286,-0.4920628,-0.3023043,-0.12803985,-0.09946888,0.004815755,-0.039487492,0.088272594,-0.1937484,-0.26959798,-0.004277017,-0.44316208,0.09985458,0.21330045,0.12842159,-0.08145745,-0.0032662838,0.10171974,-0.2890033,0.3437559,-0.1361116,0.07509209,-0.11680208,-0.24917708,0.55360764,0.051403638,-0.47774336,-0.2654033,0.16847679,-0.11914968,0.1851024,-0.03233426,0.09972055,-0.061990175,-0.34368688,-0.26271045,-0.2776718,-0.2687574,0.3215468,0.6260467,-0.05026926,-0.03217431,0.1454109,0.021621212,-0.4052652,0.0008168388,-0.30092165,-0.018616024,0.15205398,-0.1966674,0.18505478,-0.10965732,-0.004122952,-0.09208095,0.29220644,-0.32369146,0.3219207,-0.10126386,-0.00927078,0.057792887,-0.22611259,0.6075235,0.21365821,0.26144978,-0.3085012,0.24953565,0.00783276,-0.034920827,-0.7097389,0.00054706447
HN10,0.59058595,-0.24543187,0.06638174,0.36099854,0.1965298,-0.34978116,-0.24691732,0.16490439,-0.23167701,-0.07302423,-0.4358826,0.051663224,0.0015394036,0.5591419,-0.058322154,0.08324085,-0.07119136,0.2476186,-0.090194635,-0.511571,-0.16817692,0.52521026,0.30939293,-0.013189884,-0.6418161,0.24792144,0.7237861,0.23778458,-0.17680342,-0.11068659,0.4578219,0.315968,0.13179484,0.3898099,-0.111215316,-0.23655628,-0.09860685,0.2847765,0.053240288,-0.19546026,-0.49055412,-0.14706612,0.39261702,-0.46525553,-0.2786904,-0.23013543,-0.09979647,0.048094243,0.031465963,-0.050497897,-0.19712284,0.16110048,0.2438898,0.1313235,-0.122027725,-0.40702128,-0.25407648,0.113978066,0.06652102,-0.43514162,-0.370268,-0.07021103,-0.066167966,-0.04474981,0.03525443,0.05474506,-0.1547588,-0.20221841,0.051189084,-0.42211866,0.08301279,0.22028676,0.14987944,-0.027024062,-0.05531947,0.101718664,-0.302858,0.25564575,-0.12741871,-0.021317672,-0.09707089,-0.16290429,0.4678988,0.039885562,-0.42830503,-0.2687278,0.16413252,-0.106572665,0.1280433,-0.049876414,0.13878627,-0.052886512,-0.41722965,-0.28052533,-0.27194062,-0.21336779,0.3596311,0.58051234,-0.07738981,-0.025371093,0.109704345,0.04952826,-0.4041151,-0.010636601,-0.282428,-0.035331964,0.07852682,-0.17344615,0.15095186,-0.0757457,0.09474134,-0.0844477,0.22115041,-0.23252301,0.27222347,-0.11175641,0.024590721,0.10665971,-0.19055289,0.5811854,0.2579627,0.26313978,-0.2654203,0.21445727,0.06289525,-0.02655478,-0.6554648,0.09424982
HN11,0.56915,-0.12318873,0.055399403,0.413697,0.26660728,-0.39225176,-0.1959571,0.1640571,-0.23900375,-0.08529999,-0.41270304,0.045489464,-0.02744662,0.710902,-0.05927792,0.1525113,-0.02126249,0.24007297,-0.09185701,-0.47821006,-0.23427339,0.58196443,0.34260187,-0.054422002,-0.7431352,0.35408244,0.8487344,0.3375199,-0.27158466,-0.1304509,0.51982784,0.2501916,0.2798641,0.37968773,-0.21035726,-0.20335254,-0.108305134,0.2474079,-0.048910636,-0.17487691,-0.63789105,-0.040738206,0.49128786,-0.44599888,-0.2683064,-0.42065582,-0.16351612,-0.04942007,0.087750115,-0.12937672,-0.19024388,0.13053118,0.16435838,0.11432692,-0.15858135,-0.3479011,-0.21825732,0.12666844,0.18035743,-0.5257071,-0.2935222,-0.13483652,-0.1151196,0.0144567,-0.05706913,0.123502314,-0.18339396,-0.26904905,-0.019307286,-0.4570573,0.08270155,0.20627259,0.13676614,-0.07456624,0.009576436,0.14026217,-0.27780384,0.3849505,-0.16706909,0.097329274,-0.1406888,-0.2628945,0.5687013,0.04272806,-0.4936097,-0.2369707,0.15352847,-0.13534747,0.2000175,-0.031831842,0.11386819,-0.050268292,-0.34990522,-0.25286373,-0.31806347,-0.3122086,0.30510116,0.6373491,-0.01871736,-0.03777722,0.16801198,0.005001572,-0.39523286,-0.0026896773,-0.3091096,-0.00292173,0.16642034,-0.18340777,0.22343373,-0.14205219,-0.054628655,-0.051532697,0.31487358,-0.3287292,0.3055697,-0.110157676,-0.0046708407,0.043073308,-0.2077817,0.58030516,0.22805408,0.24907348,-0.29922855,0.23129696,0.008114085,-0.039033074,-0.7392218,-0.007915321
HN12,0.6149328,-0.10902415,0.084713,0.4597688,0.31596395,-0.3976881,-0.16482413,0.15101926,-0.28259075,-0.06151691,-0.41003367,0.043051813,0.002567289,0.73743045,-0.061678592,0.13702795,-0.059403453,0.25824636,-0.12175559,-0.46477288,-0.26368648,0.5776758,0.36141706,-0.045582462,-0.7699939,0.35370585,0.86211663,0.3575047,-0.31796923,-0.1414771,0.5485559,0.21933264,0.2883817,0.39666528,-0.27991456,-0.23993224,-0.09771517,0.30749863,-0.07089387,-0.14563379,-0.6826099,-0.00826435,0.52505064,-0.4818285,-0.24084522,-0.431466,-0.1856905,0.013071815,0.0248578,-0.14393242,-0.13507555,0.12757465,0.09706074,0.084308766,-0.20522827,-0.34506038,-0.20142452,0.121575795,0.18568999,-0.51001275,-0.26541612,-0.17015569,-0.1039497,0.006623859,-0.019993754,0.07884715,-0.15825264,-0.24466097,0.017308934,-0.51319,0.09304031,0.22128767,0.12601247,-0.11392297,0.024523865,0.123664886,-0.3221582,0.37179452,-0.15613753,0.10458676,-0.08844274,-0.25873935,0.51436245,-0.000530456,-0.5023622,-0.21966034,0.15618482,-0.13703133,0.18816301,-0.05170609,0.08493809,-0.05849638,-0.36407447,-0.25282836,-0.3245454,-0.32198447,0.27491042,0.6555682,-0.0044981376,-0.112501845,0.17146894,0.05880374,-0.3826372,-0.01183517,-0.30413023,-0.046588358,0.18625793,-0.1812315,0.21668856,-0.14408568,-0.03769587,-0.038735554,0.29227155,-0.3599707,0.29777598,-0.096434936,-0.008229752,0.0151569,-0.1778711,0.6096359,0.20048435,0.25089014,-0.2631121,0.23844431,-0.06652374,-0.07099051,-0.7467107,-0.009764285
HN13,0.59838194,-0.17164364,0.060363337,0.44499624,0.27423212,-0.40061805,-0.21390942,0.15486398,-0.26318252,-0.08012539,-0.38587472,0.032978125,-0.010443314,0.6984166,-0.0661719,0.13666305,-0.047870476,0.26392892,-0.11079865,-0.49031833,-0.2436309,0.56679887,0.38168475,-0.05510859,-0.74525964,0.3253762,0.8449335,0.3165573,-0.29319718,-0.15521961,0.5527427,0.25789526,0.3004333,0.37166968,-0.26591662,-0.25921002,-0.11024457,0.28702226,-0.013511924,-0.14129291,-0.6514314,-0.037666712,0.51215816,-0.47854984,-0.26346976,-0.3864406,-0.1817163,0.037212197,0.029445719,-0.15974094,-0.12746377,0.123653844,0.11727342,0.0965195,-0.18344422,-0.35789862,-0.19793633,0.11216557,0.17250098,-0.50845945,-0.29451272,-0.1215831,-0.11175266,0.0011566074,-0.02742722,0.10793329,-0.15369128,-0.22764352,0.038714048,-0.5014085,0.06164976,0.18265887,0.12847668,-0.09418654,-0.018638322,0.106083155,-0.32102132,0.36455604,-0.16500308,0.09577797,-0.074679956,-0.22213587,0.5245556,0.012706857,-0.49590367,-0.2471263,0.15546682,-0.11833261,0.14512976,-0.046248913,0.084909834,-0.070320055,-0.39400512,-0.229166,-0.31668597,-0.31580526,0.2584157,0.6273406,-0.012653105,-0.116904646,0.17602046,0.070326954,-0.3995573,-0.017119123,-0.29451936,-0.048621416,0.15027753,-0.1901231,0.21191198,-0.1508821,-0.03194127,-0.04148289,0.28368586,-0.33742186,0.29618645,-0.10760327,0.00024197802,0.011791067,-0.15613526,0.612271,0.2287337,0.21349527,-0.26600334,0.22841866,-0.048537128,-0.063586794,-0.70275956,0.03879288
