type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
338,0.40484938,-0.1009906,-0.2865332,0.38872817,-0.063486084,-0.38734803,-0.5143346,0.03821882,-0.25199363,-0.15894832,-0.32060263,0.241901,0.1533702,0.23678254,0.0032135427,0.1938455,-0.17637838,-0.024197562,-0.2307881,-0.1722604,0.2997049,0.2700456,0.11119204,0.088435575,-0.5439293,-0.045273405,0.3624463,-0.09207691,0.3051794,0.084370315,0.21180798,0.28559056,-0.28217933,-0.24461478,-0.06361511,-0.03521714,0.21709761,0.20996438,-0.0060247974,-0.07328387,-0.37830883,-0.32169077,0.069602594,-0.44745466,-0.17239952,-0.055722784,-0.06980669,0.1365152,0.21072505,0.16955082,-0.22817647,0.35657483,0.27607977,0.039662085,-0.080643594,-0.090791926,-0.046837673,0.12718602,-0.29005265,-0.057162322,-0.3875866,0.08563936,0.19947112,-0.009565439,-0.21021731,0.26207218,-0.14853248,-0.021627346,0.010332542,-0.07459833,0.27926922,0.32398954,-0.116556495,-0.18184225,-0.14067924,0.087667465,-0.285007,0.20865004,-0.23317367,-0.46775004,-0.19768241,-0.039007917,0.234061,0.11654462,-0.17925835,0.013271564,0.10648371,-0.017536577,0.16300273,-0.29709628,0.05410864,0.089471035,-0.36373794,-0.06283462,-0.3333215,0.045596328,0.20487706,0.06156827,0.019441754,-0.079095006,-0.08592068,-0.16399509,-0.5494585,0.15864488,-0.22193769,0.26243642,0.30676293,0.17287982,0.006491094,0.129417,0.24063104,-0.23576124,-0.099653974,0.030703213,0.46134847,-0.13031402,-0.17170161,-0.018047053,-0.12856993,-0.056815617,0.43214095,0.37021726,-0.28604487,0.38865834,0.026007768,0.18755187,-0.3028114,0.22516517
370,0.37699166,0.0031053042,-0.24888143,0.44030502,-0.10777603,-0.48393205,-0.5244169,0.053549856,-0.2572685,-0.14064714,-0.3095829,0.21320553,0.24813507,0.36036906,0.0055666813,0.21943289,-0.10644926,0.07293922,-0.22395599,-0.10727615,0.31458774,0.15452275,0.185951,0.054221682,-0.68389946,-0.043397825,0.45185214,-0.012255587,0.34774712,0.0029730736,0.34140584,0.27050653,-0.16477923,-0.26171073,-0.057905655,0.016343571,0.23697454,0.28435498,-0.19291559,0.052415885,-0.51061916,-0.39172727,0.0282263,-0.58257693,-0.017223055,-0.15389198,-0.14464957,0.10580996,0.23478605,0.10749867,-0.2088687,0.38672748,0.30548748,0.04906483,-0.21454701,-0.0051787207,0.027069347,0.20642494,-0.34463733,-0.079372674,-0.49329752,-0.03802002,0.18323028,0.104534715,-0.34361628,0.35644054,-0.2576577,0.045367505,0.012694147,-0.052207,0.34257987,0.31724253,-0.19503517,-0.12934917,-0.17714003,0.13988884,-0.27119645,0.342932,-0.20134206,-0.4821494,-0.319404,-0.07154132,0.23469906,0.15540347,-0.27994663,-0.06752113,0.19439031,0.0816329,0.1339191,-0.28467134,0.14105837,0.061018445,-0.27447054,-0.08402851,-0.48874545,0.06811987,0.23919211,0.15901452,0.032720294,-0.084689885,-0.020801775,-0.22190617,-0.7121733,0.2401583,-0.38506582,0.32553205,0.3932872,0.17191301,0.011915015,0.1877955,0.12859784,-0.18381818,-0.074320115,-0.10421015,0.5910579,-0.065998174,-0.12578179,0.020237878,-0.1568513,-0.1525601,0.48670593,0.43654463,-0.33779502,0.34468964,0.084867656,0.30435735,-0.2096952,0.09624854
378,0.33719558,-0.031626325,-0.22517064,0.44904912,-0.10363999,-0.4470836,-0.5248758,0.033187293,-0.2977524,-0.14925672,-0.2833748,0.26304367,0.22210976,0.36191607,-0.05379963,0.23232655,-0.11210285,0.082504675,-0.21827798,-0.11547192,0.32635933,0.16013886,0.19122088,0.017103357,-0.67617244,-0.00015897145,0.39296094,-0.016891755,0.35096875,0.027830893,0.3152113,0.27428707,-0.16202241,-0.27640426,-0.081930086,0.0052741696,0.2541608,0.28018486,-0.13680069,0.057241064,-0.5078066,-0.3836319,0.0037848244,-0.5778057,-0.032684788,-0.12802607,-0.13771635,0.1162215,0.25485003,0.159934,-0.25012913,0.40398645,0.25372973,0.013863055,-0.1726077,0.011344094,0.0046764044,0.23076965,-0.35500535,-0.09208722,-0.46271127,-0.015357304,0.18136024,0.092442006,-0.31137648,0.31830767,-0.25504446,0.030921698,0.031847104,-0.04949719,0.36849177,0.32948574,-0.174921,-0.10440721,-0.18086566,0.13162722,-0.27448395,0.315245,-0.19496897,-0.51578516,-0.31671402,-0.08447275,0.2715652,0.20626466,-0.26240477,-0.010915861,0.18313773,0.07678252,0.13009234,-0.28776747,0.11601392,0.07559018,-0.29867658,-0.11400257,-0.45020026,0.09986785,0.23947217,0.15299527,0.005997215,-0.056070518,-0.035530284,-0.21400964,-0.70121306,0.29993185,-0.30497548,0.3346787,0.34601521,0.13950472,0.01755727,0.1704123,0.15403558,-0.22908346,-0.09865648,-0.11826655,0.5727316,-0.07400062,-0.1554434,-0.04352183,-0.14504425,-0.12808019,0.49314237,0.43798643,-0.33210558,0.32469746,0.08129699,0.30843937,-0.269885,0.120231055
393,0.39752755,0.0005911572,-0.23804908,0.46057096,-0.08389619,-0.47650957,-0.5374925,0.05177433,-0.28671804,-0.1408283,-0.33375937,0.20517424,0.2517425,0.33650878,0.002195051,0.20397142,-0.101747796,0.052417792,-0.2406969,-0.13067862,0.303484,0.16944852,0.21227108,0.034372274,-0.67543197,-0.055137508,0.44318303,-0.033195462,0.33347017,0.037942883,0.29665348,0.27194244,-0.16374378,-0.25679088,-0.07306213,0.035277747,0.2566796,0.27573422,-0.16623051,0.038148195,-0.5154389,-0.38976428,0.0025198478,-0.5804892,-0.036484748,-0.15002389,-0.10122712,0.09600086,0.21987732,0.12910593,-0.2220212,0.3945954,0.28579485,0.04594221,-0.19900051,-0.026222227,0.027709441,0.18031898,-0.30503154,-0.08939742,-0.4937965,-0.00067930314,0.20035394,0.078200415,-0.32435405,0.34569612,-0.25940698,0.06358623,-0.005269727,-0.03538692,0.33752206,0.34223717,-0.1561944,-0.15357684,-0.15593484,0.14408597,-0.30126715,0.3169356,-0.23452373,-0.48497477,-0.26787445,-0.08826054,0.24837889,0.17665482,-0.27341673,-0.055987332,0.1977332,0.08011978,0.14198518,-0.28682953,0.1050912,0.05011984,-0.30235708,-0.08742238,-0.43229637,0.046395272,0.20392983,0.14918095,0.038857847,-0.061714757,-0.026595877,-0.19504552,-0.6798193,0.24948624,-0.36908862,0.28610927,0.37581292,0.17272557,0.0043236394,0.16326207,0.15511315,-0.20779288,-0.07052371,-0.11509389,0.57528836,-0.1037517,-0.12957843,0.015251436,-0.1648356,-0.14393337,0.48288402,0.44189095,-0.33464307,0.36007044,0.06420488,0.28257385,-0.250702,0.124594495
403,0.38585484,-0.090048276,-0.24039443,0.44210318,-0.06807444,-0.43372393,-0.49574348,0.0010272841,-0.27112502,-0.13966511,-0.34291446,0.256631,0.2258171,0.3079266,-0.04277347,0.18577272,-0.13530952,0.05010277,-0.22595695,-0.18833548,0.29335612,0.24403177,0.14226742,0.07974615,-0.6390334,-0.016628796,0.37677622,-0.070789576,0.3106383,0.050979294,0.23987709,0.29661623,-0.21455465,-0.23056872,-0.043104008,0.011162778,0.25295562,0.22816703,-0.079088666,-0.003891856,-0.44078118,-0.3732127,0.07203945,-0.51617134,-0.14831133,-0.10137032,-0.10410418,0.117117375,0.22205676,0.15517607,-0.2309713,0.3598142,0.29334873,0.057663817,-0.13406582,-0.049968854,-0.014639566,0.19180566,-0.26958522,-0.08443373,-0.48182794,0.05213922,0.17263591,0.041733164,-0.27494982,0.32015383,-0.19141981,0.04991105,0.021929068,-0.061997138,0.2854662,0.283618,-0.1687207,-0.12498771,-0.21083467,0.115655646,-0.25512025,0.258946,-0.1985778,-0.5173884,-0.27682346,-0.051665075,0.24264798,0.1319811,-0.22945024,-0.053952657,0.15139192,0.02929121,0.17365824,-0.31503037,0.08984029,0.08983648,-0.3147931,-0.122203745,-0.4213015,0.08871547,0.23230535,0.098431274,0.011214684,-0.07821223,-0.031028954,-0.18802024,-0.62840635,0.252736,-0.28256792,0.2975484,0.35560104,0.1748617,0.029024577,0.18852872,0.19415447,-0.22407524,-0.092499465,-0.020001302,0.53497666,-0.1076069,-0.1610786,-0.022118991,-0.15948826,-0.06571998,0.4859261,0.38818473,-0.314948,0.38212168,0.04124403,0.29341477,-0.26966777,0.16783856
406,0.33612913,-0.04282557,-0.22964731,0.4593462,-0.062183354,-0.44483104,-0.5340861,-0.0033519114,-0.28302726,-0.16730183,-0.32411578,0.27721065,0.20248382,0.35299218,-0.054513868,0.18740904,-0.1099851,0.08089599,-0.22148801,-0.15082332,0.30718184,0.15834625,0.18242158,0.049452268,-0.6691192,0.015091501,0.39986,-0.030139495,0.31830183,0.05036582,0.2685898,0.29253688,-0.21493982,-0.24521473,-0.051592655,0.019853568,0.24997231,0.26035118,-0.12531748,0.018179016,-0.49367937,-0.35899773,0.02048457,-0.55829424,-0.06601301,-0.12289407,-0.13882408,0.11476833,0.25487414,0.15835887,-0.2596962,0.3695897,0.2522668,0.0066589345,-0.17111652,-0.033926744,0.01912274,0.20929925,-0.3385345,-0.09091016,-0.45916757,0.010992688,0.1907336,0.051136434,-0.31688505,0.3216402,-0.23158666,0.018951219,0.029046929,-0.024019716,0.34786206,0.29200256,-0.20011145,-0.12949279,-0.1910274,0.1009707,-0.28495398,0.2777901,-0.18009177,-0.49951228,-0.30245122,-0.053943075,0.274247,0.20583093,-0.23588096,-0.04821875,0.17059337,0.07349466,0.15540405,-0.29593349,0.07985725,0.06560946,-0.29303256,-0.12452463,-0.41388923,0.10841157,0.22320841,0.13878298,0.0037625248,-0.053315375,-0.039380148,-0.20092435,-0.681448,0.2793217,-0.31600887,0.30886462,0.37229604,0.12143391,0.0133516,0.21361184,0.1982579,-0.24490653,-0.10092222,-0.103519194,0.58168805,-0.08994796,-0.16952705,-0.027425596,-0.18124889,-0.09399425,0.48001325,0.4221065,-0.35185668,0.3443164,0.03784226,0.30414572,-0.26212886,0.1270769
408,0.3971363,-0.082517184,-0.25105625,0.43850303,-0.067268535,-0.41173846,-0.5206268,-0.0009966596,-0.26673177,-0.15787925,-0.3350106,0.27016357,0.19338809,0.3007875,-0.016885173,0.1834201,-0.15004516,0.03967902,-0.2552786,-0.18305561,0.28191236,0.2360089,0.17274857,0.071975835,-0.6215447,-0.010717705,0.37121722,-0.08834149,0.30695537,0.07245672,0.239457,0.28411773,-0.24317557,-0.2173618,-0.053129535,0.014380383,0.24720237,0.24442291,-0.06429191,-0.0048188916,-0.4407985,-0.34676844,0.068744816,-0.5250504,-0.15646793,-0.08226611,-0.087025754,0.11327574,0.21857664,0.17200571,-0.24192593,0.373282,0.2904483,0.026867595,-0.12635465,-0.06817952,-0.018010342,0.17515524,-0.29367507,-0.07974323,-0.467902,0.04819098,0.18288103,0.028129071,-0.2848728,0.30779955,-0.16844015,0.028089372,0.017114464,-0.075272225,0.31960797,0.30637214,-0.14889504,-0.125903,-0.19540873,0.112838455,-0.26851505,0.23885718,-0.20557165,-0.5294561,-0.2724463,-0.04311972,0.25995353,0.15072595,-0.22350352,-0.03084974,0.12542813,0.022561185,0.15298796,-0.29131243,0.08794089,0.10636019,-0.33039603,-0.11325284,-0.40008476,0.09129384,0.23418017,0.09572972,-0.01125898,-0.057096027,-0.04437414,-0.18682028,-0.632917,0.244787,-0.29184604,0.30323753,0.33546743,0.16822827,0.043054633,0.19689183,0.22562379,-0.2172389,-0.09187996,-0.021714559,0.51040393,-0.124637276,-0.1609932,-0.006759336,-0.1652598,-0.09061809,0.47338772,0.4155867,-0.3009956,0.36232832,0.029269813,0.27938834,-0.2936575,0.20292792
410,0.3906856,-0.019920057,-0.2768674,0.4066047,-0.111549124,-0.44215888,-0.53629005,0.06716997,-0.2601319,-0.16836905,-0.30731282,0.20543109,0.20553097,0.33023557,0.01667962,0.23883955,-0.13448952,0.023196753,-0.24555553,-0.11939477,0.3002722,0.20314726,0.18221532,0.058661737,-0.62254196,-0.031964365,0.44984645,-0.02214023,0.33786273,0.0146281915,0.31125718,0.2574891,-0.21460213,-0.25876838,-0.070450634,0.012569571,0.24376552,0.2654118,-0.14247775,-0.0022708632,-0.46802586,-0.3726956,0.01699819,-0.56332165,-0.06311902,-0.115248635,-0.11231005,0.107451595,0.24962124,0.12208992,-0.24823546,0.39512378,0.3209318,0.036151618,-0.1706853,-0.060814075,-0.0072953836,0.1655977,-0.33795196,-0.07962953,-0.43781662,0.029318064,0.20329563,0.07097229,-0.30810165,0.33299312,-0.21759531,-0.004910546,0.0041312734,-0.036523994,0.3349886,0.33579874,-0.181382,-0.15875483,-0.13831821,0.13854799,-0.29954877,0.3206109,-0.25319254,-0.48078158,-0.28645256,-0.08538982,0.2503365,0.14845982,-0.25199893,-0.01976356,0.14476818,0.028975338,0.16432592,-0.2727856,0.113862485,0.06474549,-0.34094843,-0.055935204,-0.43840173,0.028411932,0.24570175,0.13467531,0.05486005,-0.0690301,-0.040320054,-0.2041565,-0.6686866,0.18911374,-0.34479252,0.32039613,0.3779221,0.17499304,0.02304864,0.15687507,0.1563167,-0.19672358,-0.06440847,-0.06856846,0.5433082,-0.10831368,-0.16503082,0.010605078,-0.15917602,-0.11997555,0.46785596,0.41188422,-0.32660636,0.3520002,0.08996012,0.23737636,-0.26185066,0.1493407
458,0.43785307,-0.07475427,-0.2865023,0.43551597,-0.04682447,-0.4238145,-0.5287713,0.052869104,-0.2923064,-0.16177544,-0.35414553,0.22852488,0.19203316,0.27835572,0.012062653,0.19611153,-0.21982493,-0.021668095,-0.27574423,-0.17845371,0.3140401,0.28202745,0.13422288,0.097549506,-0.611775,-0.02887742,0.42556983,-0.07344855,0.32885006,0.08219651,0.22527996,0.28721756,-0.3076028,-0.25797707,-0.07563087,-0.034283705,0.27015698,0.26469535,-0.056489006,-0.07171072,-0.42092204,-0.33679983,0.055414226,-0.5154541,-0.16646102,-0.072137125,-0.098161586,0.17564988,0.2154978,0.1980612,-0.24493565,0.40803683,0.2987127,0.007919236,-0.13187009,-0.11017735,-0.054404344,0.12559873,-0.3220433,-0.045233496,-0.41040567,0.08739657,0.21452166,0.0057804934,-0.22026093,0.2594559,-0.15590477,-0.039971672,0.023766411,-0.08759565,0.31337222,0.3605301,-0.13640623,-0.18652648,-0.13663194,0.09764457,-0.32720932,0.26288512,-0.2671737,-0.5296652,-0.20211685,-0.027685925,0.2528929,0.124653704,-0.1919557,0.011804106,0.13006352,-0.03774514,0.17146365,-0.31002396,0.06020085,0.07691047,-0.39411712,-0.070641525,-0.36806843,0.026786653,0.24607137,0.06273426,0.04032181,-0.09360145,-0.08172739,-0.14605027,-0.59271365,0.17141701,-0.25616655,0.27621207,0.35909525,0.20000294,0.010068985,0.13595363,0.24384527,-0.23604554,-0.11400976,0.0045699594,0.50617605,-0.12816425,-0.18428747,-0.026288494,-0.15181221,-0.0688082,0.45544103,0.42986625,-0.30492327,0.4173199,0.04092217,0.21390517,-0.31999445,0.23473792
460,0.4000841,-0.09094163,-0.3018785,0.3956461,-0.065907314,-0.4138504,-0.53084433,0.054933086,-0.24119648,-0.16096744,-0.29807973,0.2175025,0.15536985,0.25099373,0.009197493,0.19901781,-0.18260574,-0.01869346,-0.25409052,-0.17153493,0.2983853,0.26113126,0.14721245,0.08963708,-0.5608398,-0.03187372,0.39381987,-0.07986666,0.31155697,0.07585808,0.22484104,0.2838411,-0.28390533,-0.2596359,-0.080815904,-0.027884193,0.23197854,0.21892394,-0.02808042,-0.061894752,-0.38970625,-0.32755286,0.07443681,-0.4860742,-0.16197683,-0.05238625,-0.079120934,0.14643608,0.20641404,0.16100813,-0.23003678,0.36058748,0.29154682,0.031376515,-0.09073648,-0.1042008,-0.043062475,0.12197141,-0.315543,-0.048707608,-0.40277392,0.09188063,0.20275488,-0.010743268,-0.23018281,0.27701107,-0.15350132,-0.0437937,0.010398753,-0.07356087,0.27963075,0.3290572,-0.1278516,-0.16876914,-0.14367172,0.08697156,-0.30262664,0.23559868,-0.24918182,-0.4770349,-0.19352837,-0.029272376,0.25107926,0.11697892,-0.18262523,0.007149869,0.11173592,-0.01998201,0.13936965,-0.2870839,0.049843222,0.083421774,-0.374812,-0.04190167,-0.33585048,0.01994747,0.21011141,0.06764359,0.03958285,-0.0794321,-0.08022697,-0.15059477,-0.56563216,0.1560012,-0.23353736,0.2526605,0.3292866,0.18426777,0.007891749,0.1344005,0.21904346,-0.23476711,-0.093312025,0.013474712,0.4808285,-0.12006957,-0.17544931,-0.036185704,-0.13954294,-0.07253545,0.42399806,0.3770617,-0.29907984,0.3912459,0.033745956,0.19452862,-0.30149758,0.23920783
