type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
377,0.75218475,-0.22422342,-0.29787064,0.13255645,0.032044448,-0.2288921,-0.47725308,0.36720207,-0.14584984,0.025266834,-0.3498548,0.08379158,0.009766304,0.07650941,-0.07419734,-0.057662252,-0.19806135,-0.1454244,-0.06766382,-0.1745707,0.100238,0.20767525,-0.036300328,0.19978175,-0.3955136,-0.16573615,0.50485104,-0.079855666,0.3840962,0.11870365,-0.093456805,0.57467866,-0.6686738,-0.2555705,-0.047305454,-0.33600426,-0.11457158,0.037260886,0.32785225,-0.6542453,0.045103163,-0.3697674,0.2529804,-0.28995574,-0.17336501,0.42566925,0.16075309,0.38516474,-0.046720058,0.12682869,-0.19691473,0.15207516,0.30963555,0.33550468,-0.10854086,-0.35923854,-0.16495207,0.118406825,-0.547972,-0.0711201,-0.1666331,0.060187627,0.2059088,-0.19090357,0.2496769,0.071415395,0.0074869273,-0.15825824,0.16787498,0.058592148,0.13902877,0.3438429,0.28676033,-0.17597263,-0.03225504,0.09426893,-0.013815157,0.034968078,0.10917055,-0.5256623,0.036513742,0.3568261,-0.15008038,0.02223098,-0.06056005,-0.025319288,0.018783092,-0.24418491,-0.25316623,-0.32345712,0.08828659,0.14326029,-0.356121,-0.09727891,-0.029733697,0.19480383,0.11520713,0.03968985,-0.21453638,-0.1546568,-0.69520265,0.087339506,-0.12075001,-0.18174016,0.20016877,0.3908386,-0.0035952714,-0.07942343,-0.016868087,0.0031543102,0.116491206,-0.5347767,-0.1825703,0.39462385,0.15956025,-0.10048951,0.015927806,-0.00666049,0.06369901,0.045496196,0.2829891,0.22067079,-0.47621733,0.5072021,-0.22316547,-0.035657585,-0.59543335,0.17546163
522,0.7732602,-0.2388143,-0.28131914,0.12550367,0.03714807,-0.2642408,-0.4937768,0.37876442,-0.14887635,-0.0022657209,-0.36987618,0.08594969,0.0038212296,0.0627806,-0.07569173,-0.04180698,-0.19958286,-0.15014352,-0.08192152,-0.17638706,0.09953471,0.21284977,-0.0465638,0.17583218,-0.40410477,-0.16749455,0.5101799,-0.09450652,0.3705799,0.1360887,-0.10012677,0.5860248,-0.69196814,-0.26649636,-0.05830255,-0.33716685,-0.1323446,0.026184605,0.33325648,-0.66366404,0.032245517,-0.39231467,0.24189916,-0.32480305,-0.1761266,0.44088656,0.15564047,0.40855813,-0.052485384,0.14559759,-0.20818129,0.15657638,0.3253777,0.33536488,-0.11137817,-0.3754308,-0.16454606,0.13540354,-0.5564048,-0.05950105,-0.17394005,0.04882839,0.19622236,-0.20050885,0.24213095,0.07715681,-0.01417321,-0.16656592,0.16588071,0.06544162,0.13229328,0.3578156,0.307145,-0.18207736,-0.025775077,0.120252125,-0.002593111,0.04785472,0.116259895,-0.5456522,0.053595338,0.35538185,-0.13705488,0.019768609,-0.08910271,-0.017775455,0.0069046193,-0.27003673,-0.28719705,-0.34078953,0.084188536,0.16246669,-0.3395191,-0.09550371,-0.026991205,0.18057385,0.10576072,0.06823144,-0.21699938,-0.17001535,-0.719655,0.09415975,-0.12313945,-0.1894335,0.19885428,0.3904915,0.0026228845,-0.061372247,-0.028724214,-0.0019223755,0.11225539,-0.5531789,-0.19624542,0.42348927,0.15937795,-0.10931981,0.0001271931,-0.0060119256,0.09613269,0.06445237,0.27944237,0.24028817,-0.4991402,0.5254995,-0.233974,-0.03668541,-0.6140929,0.16020933
584,0.73685086,-0.22928616,-0.29693416,0.13777526,0.03869693,-0.22810753,-0.4620593,0.35435167,-0.13886668,0.009028726,-0.36135766,0.0920509,0.012600805,0.054104663,-0.09283012,-0.05562059,-0.20166166,-0.15010518,-0.06735111,-0.18505304,0.09302595,0.20844723,-0.028929854,0.19162184,-0.3854076,-0.15772995,0.49902338,-0.09529091,0.36696452,0.10776229,-0.09801134,0.54901934,-0.6567294,-0.25341877,-0.03627581,-0.33413845,-0.11670431,0.030234434,0.3310351,-0.6278389,0.038092934,-0.38449168,0.24543183,-0.30462506,-0.19299331,0.41949177,0.15998891,0.3828207,-0.026607959,0.12729251,-0.20404729,0.14832494,0.2935763,0.3150119,-0.08864689,-0.35829872,-0.15147057,0.124562286,-0.53626895,-0.0693005,-0.17466411,0.059935328,0.20182653,-0.18825999,0.23561695,0.06738996,-0.0043097055,-0.15163726,0.1691167,0.055479493,0.13034572,0.3402985,0.26430342,-0.17922348,-0.03474555,0.090981275,-0.014271631,0.04339888,0.10393431,-0.5258331,0.053251605,0.3441759,-0.13695002,0.0086790845,-0.07122233,-0.023477,0.017101089,-0.24684975,-0.26699552,-0.32897288,0.077561155,0.13900341,-0.35094482,-0.088930346,-0.028159978,0.17878588,0.098727345,0.052702323,-0.20224553,-0.1643206,-0.6706537,0.10118592,-0.12789641,-0.16647573,0.20155786,0.38446873,-0.002835195,-0.06773115,-0.008418275,-0.0050926926,0.11172686,-0.5334643,-0.17422785,0.39300102,0.17515542,-0.10208886,-0.00432485,-0.0075260666,0.07933941,0.05261943,0.2743053,0.22652484,-0.46921074,0.49187866,-0.22485805,-0.029051004,-0.5817469,0.16807891
706,0.7779573,-0.23207077,-0.2912389,0.12509279,0.04084267,-0.24681589,-0.49584526,0.38932565,-0.13633476,-0.00080296386,-0.37945542,0.085987516,-0.000449361,0.051970806,-0.091372766,-0.047648843,-0.21035983,-0.15614295,-0.07175443,-0.18319175,0.10141216,0.2168266,-0.024360983,0.19667087,-0.41787848,-0.1676815,0.5293492,-0.07523744,0.3923845,0.13128002,-0.10118257,0.5766225,-0.6891689,-0.27696458,-0.060278453,-0.3529984,-0.12531497,0.03226527,0.3233198,-0.6569052,0.039415013,-0.38313615,0.26127934,-0.30607432,-0.16338931,0.43284106,0.16449459,0.40061814,-0.05150495,0.13081786,-0.18542235,0.13468923,0.3193166,0.33861858,-0.10934378,-0.3755796,-0.14492662,0.11051682,-0.5572073,-0.08081324,-0.17932981,0.048084393,0.18462075,-0.19669832,0.25026986,0.092264906,-0.01573201,-0.16554356,0.17509742,0.06411165,0.12416026,0.3590505,0.28570813,-0.16507101,-0.033260018,0.10783836,-0.010172242,0.037731614,0.11198401,-0.5521983,0.059477054,0.37285465,-0.1519491,0.0068082907,-0.0729951,-0.015809247,0.029746985,-0.2654713,-0.2587913,-0.31956112,0.08596995,0.15201932,-0.34783363,-0.11161437,-0.03716828,0.1935712,0.10388298,0.06690029,-0.22405148,-0.1744557,-0.7168467,0.10119253,-0.13303079,-0.18310311,0.19880669,0.39954284,-0.0005888363,-0.081937216,-0.017162297,-0.008187862,0.120526515,-0.53814787,-0.18364127,0.42259896,0.17759465,-0.105132066,0.023454016,-0.0005326999,0.07198292,0.049932607,0.28526306,0.22613086,-0.5003486,0.51139593,-0.23576802,-0.04004218,-0.60671335,0.16302069
714,0.7067014,-0.21399014,-0.28761986,0.13016954,0.035819996,-0.23336269,-0.4487736,0.33586973,-0.13005398,0.01789518,-0.34732735,0.08118607,0.023620863,0.058861554,-0.07184762,-0.04227414,-0.18394509,-0.14247535,-0.077834174,-0.16743177,0.08543478,0.19947313,-0.036824618,0.18244669,-0.37467498,-0.14034213,0.4880404,-0.08430756,0.35115385,0.105896845,-0.089958616,0.52866185,-0.6323073,-0.23444606,-0.03492887,-0.3041185,-0.109402835,0.032658305,0.31684825,-0.6034549,0.031530168,-0.3617999,0.23827608,-0.28342348,-0.18464808,0.40172195,0.14350617,0.37938252,-0.045149554,0.12694837,-0.19140893,0.14626327,0.27749825,0.29335034,-0.08800005,-0.35299626,-0.14346968,0.1115621,-0.5158581,-0.055679493,-0.15760805,0.06577228,0.18347023,-0.18045291,0.22367103,0.075997554,0.0063663,-0.1536595,0.15640311,0.04376615,0.12735696,0.320121,0.25691664,-0.18475637,-0.028162643,0.09704203,-0.017630016,0.045213122,0.098908246,-0.50800437,0.040144872,0.33168253,-0.123047926,0.009490908,-0.06361762,-0.021569995,0.017541813,-0.2316762,-0.24138133,-0.31887934,0.0880021,0.14270099,-0.3333583,-0.085632496,-0.015167386,0.17919299,0.101854175,0.041492186,-0.19859286,-0.16074015,-0.6417661,0.08824632,-0.10910284,-0.17483729,0.18356052,0.36865807,-0.007999487,-0.057970643,-0.022520544,0.011790518,0.10420233,-0.5149439,-0.1775575,0.38881814,0.15813483,-0.108673505,0.0009140179,-0.007845646,0.074578844,0.053143065,0.27328908,0.20307256,-0.4448474,0.48212165,-0.21523635,-0.038231812,-0.5559482,0.16457705
GSE117570_P2,0.7239367,-0.22080068,-0.2829117,0.12968253,0.053712007,-0.24532403,-0.45085472,0.34247565,-0.14854228,0.0075132474,-0.3487555,0.09496448,0.01278847,0.073534876,-0.0879353,-0.05032421,-0.185176,-0.15386446,-0.058835056,-0.18295321,0.08026586,0.19786493,-0.027700277,0.17150009,-0.3870841,-0.14003475,0.5040402,-0.09682532,0.35754105,0.10666497,-0.09672177,0.55108994,-0.6394531,-0.23902103,-0.040016577,-0.3254394,-0.12524956,0.044541858,0.31817743,-0.62216145,0.029924681,-0.36582914,0.23819382,-0.28276986,-0.17735678,0.39737013,0.13818163,0.3934269,-0.040037848,0.12397325,-0.18843223,0.14203657,0.29073748,0.31679857,-0.10803263,-0.34335738,-0.14968869,0.109790705,-0.5098456,-0.073097154,-0.16318488,0.050935626,0.17834494,-0.17524892,0.23785907,0.07965675,-0.004199528,-0.15766892,0.17142305,0.05557754,0.12739986,0.32397527,0.27513427,-0.18976012,-0.019946566,0.10384947,-0.008365665,0.050780263,0.11360354,-0.51135707,0.05266363,0.3327034,-0.12942755,0.014070184,-0.075271524,-0.014243829,0.019450797,-0.24731168,-0.2509267,-0.32142702,0.08944994,0.14276372,-0.32483333,-0.09035986,-0.01688852,0.17744865,0.102289505,0.043930504,-0.21748534,-0.16906893,-0.66797316,0.099193625,-0.11997997,-0.16782515,0.1903657,0.38233954,-0.015186848,-0.06389141,-0.027802348,0.00081538054,0.10464072,-0.5077973,-0.16711812,0.39950058,0.15499865,-0.09673628,0.008229182,0.002772378,0.067540675,0.06254992,0.26225036,0.21539785,-0.47114652,0.49121267,-0.22223435,-0.046680573,-0.5834981,0.16409126
LUSC-1,0.6209739,-0.18716553,-0.25520936,0.12219397,0.04177941,-0.19953641,-0.40579757,0.29774734,-0.12575455,0.006218608,-0.30533898,0.08593198,0.018377103,0.06136264,-0.07478297,-0.0373448,-0.16778308,-0.13548961,-0.06828235,-0.15904416,0.08049751,0.16928431,-0.028436724,0.15376098,-0.33673614,-0.1260526,0.42761576,-0.0883198,0.30790123,0.10995188,-0.07952732,0.4861635,-0.5756716,-0.21936119,-0.035259575,-0.28039736,-0.094418965,0.032203402,0.278958,-0.55082256,0.023379676,-0.3269423,0.20342748,-0.26290628,-0.1620706,0.3428554,0.12762691,0.3317367,-0.022913702,0.108101964,-0.15996383,0.12772766,0.26156974,0.26413965,-0.09332775,-0.32100686,-0.14066172,0.10013083,-0.46027908,-0.051661815,-0.15614003,0.05914463,0.17079501,-0.16067,0.19681813,0.06129709,-0.010734104,-0.13536423,0.14901821,0.042202838,0.107615665,0.279098,0.23253524,-0.16858009,-0.023345644,0.08353905,-0.01735174,0.03837707,0.09307017,-0.4642877,0.04082666,0.30129328,-0.1080642,0.023988124,-0.063345194,-0.012042112,0.027796611,-0.21676837,-0.22697149,-0.28297302,0.0722094,0.12343527,-0.3012535,-0.09527346,-0.025735753,0.15690593,0.10125149,0.036055762,-0.1859557,-0.13457608,-0.5776079,0.08072901,-0.10311227,-0.16079874,0.15778796,0.3291268,-0.01857627,-0.046502702,-0.027009778,0.00889983,0.08649138,-0.44770673,-0.1491389,0.34153524,0.13954954,-0.10119939,0.0007885221,0.006047451,0.06929257,0.043173824,0.24342105,0.18000503,-0.401431,0.423397,-0.18165363,-0.040250894,-0.51307917,0.14561388
LUSC-2,0.69568264,-0.20991577,-0.26975277,0.11766996,0.042009223,-0.22404757,-0.44557142,0.34143227,-0.12505078,0.0077846106,-0.34363288,0.084699035,0.026526507,0.05420926,-0.070751026,-0.04239284,-0.17142151,-0.14589098,-0.074855044,-0.16995189,0.07778719,0.17243779,-0.0440132,0.1737622,-0.36646008,-0.13161469,0.46760795,-0.09163664,0.35320064,0.11192555,-0.09223531,0.5380041,-0.63092154,-0.23831205,-0.0325276,-0.30302078,-0.10482536,0.037839103,0.29750493,-0.5930536,0.032007903,-0.35207468,0.22008881,-0.27209505,-0.16643578,0.3812549,0.1431963,0.38038385,-0.03231482,0.11994398,-0.17878328,0.1387589,0.29395002,0.2945464,-0.09464083,-0.35080087,-0.14625072,0.10525389,-0.4881444,-0.058170456,-0.16612098,0.051721126,0.18544808,-0.16618928,0.2270573,0.07698179,-0.0002632514,-0.15342292,0.15728769,0.059344593,0.112340994,0.3156989,0.26172858,-0.17443924,-0.0263857,0.10429735,-0.022661166,0.04278615,0.10152861,-0.507386,0.044141196,0.33297306,-0.117580704,0.015099299,-0.07974617,-0.028721996,0.028709669,-0.24055876,-0.24310155,-0.29503116,0.086091906,0.12648414,-0.32201353,-0.10020852,-0.014042827,0.16706952,0.10539832,0.05197406,-0.21011345,-0.16364476,-0.63610506,0.09946238,-0.10262916,-0.16889709,0.1744655,0.3523694,-0.0022383025,-0.0528319,-0.02828922,0.0136064645,0.10456988,-0.4950409,-0.17792076,0.37729496,0.159657,-0.10941339,0.0079338355,0.0042813066,0.06809784,0.054540396,0.25511348,0.19736186,-0.44700688,0.46220922,-0.19687665,-0.043805636,-0.5607188,0.16234696
P1,0.7376359,-0.23499052,-0.27780014,0.12761846,0.04167094,-0.25525546,-0.46983024,0.3735374,-0.15495262,0.0021622528,-0.36917287,0.08412101,0.02390522,0.055456772,-0.082845464,-0.040058095,-0.17688967,-0.13747743,-0.07138738,-0.17904747,0.09861738,0.17947833,-0.025416635,0.17306755,-0.3831212,-0.15656883,0.5258242,-0.09497567,0.37631175,0.10470201,-0.08229905,0.5781655,-0.6621934,-0.24911618,-0.04360432,-0.3379692,-0.11925586,0.05708208,0.32344773,-0.6497143,0.043350644,-0.37427706,0.22747757,-0.30530536,-0.16346236,0.42509356,0.1418635,0.4079801,-0.048580516,0.14101592,-0.18676442,0.13683441,0.29708087,0.32540095,-0.122183554,-0.36352125,-0.15803793,0.1350926,-0.5434606,-0.08132837,-0.19046743,0.04738033,0.18477368,-0.19218619,0.2514332,0.07677003,0.0076962407,-0.13585183,0.18885167,0.056747712,0.12626292,0.31572124,0.28735876,-0.18088768,-0.03816397,0.1059094,-0.021099431,0.04456626,0.13028961,-0.52733606,0.037243932,0.35944095,-0.14837396,0.025770174,-0.08819465,-0.039121523,0.023723656,-0.2468028,-0.26450703,-0.32788154,0.10904355,0.13076535,-0.32715598,-0.12568255,-0.044963203,0.19681577,0.10988501,0.054834623,-0.22190931,-0.1746679,-0.68221104,0.09421023,-0.105420016,-0.18104923,0.17672719,0.3881526,-0.011152553,-0.06717941,-0.0313365,0.008926742,0.105846554,-0.534253,-0.19629256,0.38063923,0.1506987,-0.1083794,0.030452374,0.017178386,0.08566731,0.07240249,0.2853176,0.23320821,-0.4869375,0.49321067,-0.20473935,-0.040345505,-0.5814526,0.15900809
P10,0.7495925,-0.23124793,-0.27179542,0.13760877,0.041434944,-0.25329676,-0.46443933,0.36706713,-0.15744312,0.022048308,-0.37254453,0.08883653,0.039321326,0.08162385,-0.08829434,-0.061889827,-0.17102638,-0.13569272,-0.071382135,-0.17746711,0.0844667,0.17627496,-0.025583917,0.17712738,-0.40200678,-0.14782196,0.5222269,-0.081384845,0.37793714,0.09716193,-0.09276963,0.57356644,-0.67407835,-0.23017567,-0.034999173,-0.32105914,-0.118371546,0.054802623,0.32440373,-0.6486375,0.032131214,-0.39355084,0.22727284,-0.30635184,-0.1685254,0.42772362,0.15350103,0.4067366,-0.05798328,0.13267224,-0.17879878,0.14249043,0.30851406,0.32405666,-0.12529531,-0.37133178,-0.16263473,0.1224376,-0.5433445,-0.070458,-0.18623805,0.051260177,0.18358544,-0.19316532,0.24417165,0.061646968,-0.01233059,-0.14177175,0.19115886,0.07039133,0.1310846,0.31658986,0.28063947,-0.17695713,-0.018441852,0.1062504,-0.008523664,0.057869736,0.11634844,-0.53385216,0.03490701,0.3673565,-0.14701913,0.02962479,-0.06720329,-0.044017475,0.03605718,-0.25552034,-0.261598,-0.32569286,0.10789368,0.15067194,-0.34420952,-0.105139084,-0.025325641,0.18455957,0.12126468,0.061033867,-0.22522208,-0.17466587,-0.6660019,0.09971247,-0.11053664,-0.19643681,0.18240654,0.37843373,-0.026260918,-0.08801669,-0.019308459,0.019459354,0.10767032,-0.51704866,-0.19199647,0.39085314,0.16700654,-0.10153406,0.037869375,0.018210676,0.077675655,0.06815949,0.28883326,0.22350465,-0.49057814,0.48296505,-0.22006549,-0.031098582,-0.5950754,0.17692192
