type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
BRONCHO_58,0.70195866,-0.529541,0.2594983,-0.06004847,-0.04893973,-0.4064174,-0.20494115,0.65333956,-0.065905176,0.29925177,-0.57422125,-0.4647325,0.0182947,0.2437832,-0.26068822,-0.004611575,-0.005954226,0.6067327,0.43055943,-0.5723048,0.014757442,-0.078511916,0.25831208,0.30412975,0.36362177,0.18625765,0.2533334,-0.29173508,-0.4117284,-0.6292738,0.37873414,0.25459364,0.40856656,1.0000439,0.23178332,0.15114287,0.1584173,0.26688045,0.12272978,-0.41573358,-0.10120847,-0.41752774,-0.20862438,-0.3868923,0.47871447,-0.23301765,-0.30678305,0.15116051,0.14549714,0.34248367,0.4002574,0.19960232,0.5042495,0.35531586,-0.16957928,-0.28263202,-0.107504785,0.12308284,0.12957035,-0.20513889,-0.10924414,0.31135046,-0.12682179,0.54033875
EBUS_06,0.58224213,-0.49354497,0.15312077,-0.027987232,-0.07965567,-0.35632056,-0.17126395,0.6431476,-0.018373774,0.34700495,-0.6310561,-0.41894498,0.017881982,0.28810337,-0.36115757,0.026099501,0.027500644,0.47941115,0.42200252,-0.55777395,0.02873069,-0.16020916,0.27077177,0.275166,0.27888104,0.25820005,0.07905952,-0.2793146,-0.35152397,-0.59712183,0.28644115,0.21754436,0.492369,0.9505763,0.16827874,0.07444641,0.044037376,0.25333706,0.06622514,-0.25537303,-0.13220963,-0.3021509,-0.3519718,-0.32029802,0.38675654,-0.12556483,-0.38628417,0.17608368,0.1386737,0.38315,0.21155584,0.25936657,0.62821996,0.3364794,-0.29411504,-0.23425159,-0.08765047,0.1195207,0.08619184,-0.08730184,-0.12482029,0.4572428,-0.025861476,0.50610757
EBUS_28,0.64026314,-0.50016904,0.17195764,-0.016785722,-0.05564943,-0.3500281,-0.13760535,0.6304316,-0.043701317,0.33783677,-0.5892707,-0.36967197,-0.00511502,0.21953246,-0.34709132,-0.012512846,0.069410324,0.5443786,0.41468403,-0.599375,0.019169072,-0.061015576,0.27758616,0.27901202,0.29194364,0.21233287,0.1906754,-0.2473451,-0.39076728,-0.66745335,0.3335563,0.23990144,0.46769714,1.0193359,0.2483837,0.09372652,0.08351681,0.25180367,0.094498724,-0.344445,-0.06299345,-0.33944046,-0.26662615,-0.29149407,0.37422866,-0.15731551,-0.34726775,0.15462786,0.1182661,0.39075288,0.27502516,0.25866988,0.6135535,0.30968407,-0.22777703,-0.2821937,-0.10283996,0.109864764,0.104340404,-0.06640898,-0.131424,0.4675277,-0.07375167,0.53180224
EBUS_49,0.58134514,-0.49100757,0.09743639,-0.07975406,-0.066860124,-0.33811203,-0.14979069,0.62724876,-0.050035223,0.3354349,-0.65209854,-0.38858637,0.029465448,0.2688492,-0.36818743,0.06491304,0.055106077,0.49255708,0.40426412,-0.5547174,0.007473406,-0.12894207,0.2780701,0.24438475,0.27403218,0.2585719,0.06092664,-0.25130543,-0.36445975,-0.66146344,0.25087228,0.23973471,0.45356917,0.90744734,0.14290054,0.025678055,-0.023690663,0.28253168,0.08830011,-0.21815212,-0.11948253,-0.29637265,-0.35879734,-0.30187458,0.41585225,-0.13041186,-0.35744953,0.2313232,0.13552855,0.38588145,0.1516067,0.28350288,0.65581363,0.31658575,-0.27890673,-0.26046664,-0.095837824,0.1106996,0.08833942,-0.041122314,-0.1071497,0.49299896,-0.05631184,0.49180216
LUAD-1,0.56792253,-0.48601064,0.15356562,-0.07752407,-0.06719827,-0.3780665,-0.12468149,0.5679773,-0.08296589,0.2973505,-0.5797063,-0.426587,0.02963031,0.23469208,-0.36591935,-0.01055399,0.08589536,0.5020132,0.40619138,-0.56592554,0.06784022,-0.0927833,0.27263284,0.3187544,0.22904257,0.2967999,0.10770844,-0.20489947,-0.35696727,-0.6700278,0.29779917,0.3025454,0.50238746,0.948485,0.23619018,0.03032915,0.06174388,0.31375575,0.1371163,-0.2546116,-0.00721229,-0.3369934,-0.26726457,-0.32193774,0.4128142,-0.17734112,-0.3758768,0.2025407,0.073489994,0.34792888,0.22720183,0.3123034,0.59634435,0.19474873,-0.24308418,-0.26881933,-0.13715188,0.08846504,0.07589339,-0.11084581,-0.07746898,0.4201714,-0.07394256,0.5223775
P1,0.77839035,-0.7169919,0.12628773,-0.018618712,0.022824246,-0.44089866,-0.23177707,0.50039405,-0.25766528,0.12787709,-0.6424873,-0.41776484,0.040648494,0.08366304,-0.1971536,0.08726266,0.04256687,0.68797606,0.24160565,-0.5310067,0.15178065,-0.28904814,0.37067425,0.21165721,0.37321395,0.1354323,0.4477794,-0.28274226,-0.40086845,-0.8216598,0.32295907,0.5244938,0.41106898,0.9406006,0.19581233,0.010419068,0.09584301,0.5553545,0.10509544,-0.16792919,-0.0053437673,-0.37327427,-0.3312425,-0.40890867,0.43031338,-0.09057231,-0.33175072,0.44546974,-0.12744328,0.33862075,0.31731096,0.28436828,0.3993151,0.21535142,-0.28358018,-0.15478025,-0.0024935477,0.13019322,-0.036657464,-0.3057095,-0.062286727,0.2537188,-0.045031484,0.35317665
P10,0.71682435,-0.67161095,0.1418358,-0.052335124,0.01660758,-0.35064194,-0.23344387,0.4979257,-0.16446356,0.17888671,-0.679201,-0.43160573,0.0003952754,0.15491982,-0.21178444,0.038550757,0.03953757,0.6672904,0.2789881,-0.51154894,0.14649142,-0.23730159,0.3611986,0.19959344,0.3066962,0.20834537,0.33522797,-0.24856016,-0.33278367,-0.82715017,0.21464548,0.4622643,0.45783898,0.9220306,0.14891373,0.03493466,0.08442421,0.479066,0.14118795,-0.12477404,-0.0012695086,-0.29455885,-0.3425153,-0.32048967,0.43176854,-0.11700293,-0.37299386,0.40300447,-0.1110483,0.3317651,0.2558905,0.31543493,0.52383536,0.18353614,-0.31350034,-0.18518229,0.0047679637,0.11994355,0.005422041,-0.18463428,-0.07812916,0.35579196,-0.0068989187,0.39733848
P12,0.7219431,-0.5209225,0.15632848,-0.007253861,-0.0241905,-0.31073532,-0.17513697,0.52318937,-0.18367387,0.22239481,-0.588505,-0.36855763,0.06306795,0.18104656,-0.31017712,0.0626834,0.014657056,0.6520714,0.33683214,-0.5529737,0.020002265,-0.18079326,0.25159246,0.23587386,0.29148233,0.21460772,0.2775289,-0.2311484,-0.44516096,-0.69769764,0.2630747,0.3407473,0.4154394,0.9830799,0.17066379,0.008906389,-0.018517857,0.38235116,0.14884216,-0.16821072,-0.0740294,-0.36177224,-0.23430602,-0.35051548,0.38528207,-0.07225807,-0.31686375,0.35196286,-0.01345623,0.29232076,0.28382102,0.33270034,0.5314489,0.1937715,-0.25744712,-0.27527165,-0.00910101,0.117618844,0.06804223,-0.16512601,-0.07245762,0.35125953,-0.061647538,0.43675867
P13,0.6086102,-0.46912125,0.124599814,-0.012487137,-0.06879093,-0.29634586,-0.16044775,0.5718136,-0.08946588,0.24296756,-0.6295957,-0.3854196,0.0016713433,0.22636406,-0.35568076,0.02801298,0.01096351,0.5402689,0.4094381,-0.60700154,-0.0026547855,-0.062516704,0.26276723,0.3412327,0.2585497,0.20009588,0.15329346,-0.23388304,-0.41249886,-0.63402236,0.24592859,0.28046617,0.48728532,1.021929,0.23706128,0.018741554,-0.040911034,0.30736372,0.039839752,-0.27230164,-0.060370483,-0.3368752,-0.25508785,-0.31881148,0.39312708,-0.07835091,-0.32101583,0.1857134,0.08899579,0.39358118,0.2038285,0.2803949,0.54427576,0.23932362,-0.19753207,-0.29532474,-0.030346485,0.08558157,0.088507645,-0.034383237,-0.18737076,0.40811783,-0.10238678,0.48254907
P14,0.83024913,-0.58225113,0.25251076,-0.051017314,0.030198183,-0.42864716,-0.22901928,0.46773306,-0.23178141,0.10039987,-0.60291654,-0.5011665,0.0011220499,0.07943871,-0.17445163,0.0524896,-0.0059651663,0.7668996,0.26353338,-0.55518055,0.063789606,-0.24472973,0.35217318,0.30593386,0.41755283,0.11061872,0.3999253,-0.2761743,-0.50320566,-0.7984881,0.28142148,0.46384087,0.4271904,0.9695221,0.18060754,0.024609158,0.111431085,0.4957534,0.10354579,-0.27351043,-0.06242349,-0.35370925,-0.27697912,-0.33106235,0.43139628,-0.16647513,-0.33772442,0.40420014,-0.10943556,0.3050631,0.4249911,0.20405643,0.42987657,0.18741526,-0.24856924,-0.18040498,0.022729173,0.093080685,0.015768051,-0.27509198,-0.11896206,0.23467864,-0.047903784,0.44825286
