type,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63
338,0.87747747,-0.43459564,-0.17712376,0.315178,-0.09303796,-0.57563215,-0.29783717,-0.066752456,-0.27256924,0.35098264,-1.278067,0.25699002,-0.3092235,0.2739284,-0.18980314,-0.124689,0.3656208,0.81846386,-0.22502387,-0.7448974,-0.09388387,-0.02229827,0.25743586,0.78838235,-0.16052267,-0.52871984,0.23186915,-0.2508686,-0.17890143,-0.79210085,0.41078812,0.53143585,0.2924647,0.32881892,0.08160357,-0.87948567,-0.3338131,0.52129114,0.35856754,-0.37039942,-0.77955693,-0.35577548,-0.42241403,-0.32180923,-0.2200174,-0.47680217,0.12858324,0.58562607,0.067759074,0.07782047,0.17988154,0.46502674,0.6632581,0.14951368,-0.63457453,0.43747357,0.11649669,-0.22948869,0.017989237,-0.109248236,-0.86665034,-0.15224987,-0.2893647,0.86660695
370,0.76781064,-0.30827183,-0.53493816,0.22510551,0.90965176,-0.14094031,-1.0649674,0.27854353,-0.9537053,-0.21178912,-1.0594339,0.24704936,-0.3859476,0.20099974,-0.06828641,-0.031916283,0.22026806,0.5805916,0.47458163,0.083360374,0.56042236,-1.0469046,1.4844507,-0.2327001,0.19634828,-0.25131717,0.3407415,-0.034264788,0.23254329,-1.3756155,-0.34446508,0.55567586,0.1399624,0.36348185,-1.199322,-0.32795367,0.8219198,0.5602015,-0.8073208,0.31873733,-0.006594035,-0.3966736,-1.3824697,-0.5961368,0.44712922,-0.5399017,0.6482908,0.47768664,-0.4656895,0.13994701,0.2926086,0.5764517,1.0832927,-0.021603923,-0.5799379,0.41056848,0.6848253,0.9163736,-0.5149476,-0.26981205,-0.75181997,0.5091871,0.72273374,-0.885611
371,1.4903836,-0.95169276,0.017484436,-0.1598623,0.10375319,-0.80738,0.08135112,-0.098165445,-0.24739765,0.098648965,-1.310541,-0.46046564,0.08891327,-0.15313959,-0.34462333,0.11153009,0.24675216,0.77707815,0.04932314,-0.40482628,-0.24704504,-0.23238704,0.9060416,1.1912203,0.16299433,-0.98605746,0.25789586,-0.16634326,-0.22241539,-0.7882259,0.7233524,1.1017057,0.50794625,0.26201952,-0.60603756,-1.2065785,0.14607029,0.5240072,0.32582372,-0.795517,0.060498502,-0.34256026,-1.531569,-0.09005748,-0.07968324,-0.51435566,0.5299615,0.57130086,-0.829824,-0.30255675,0.17784552,0.04332126,0.8375498,0.39113048,-0.98923314,0.9083666,0.30760607,0.27420095,0.20293899,-0.19189548,-1.0980207,0.16291499,0.0702745,0.9416135
377,1.0818961,-0.26037946,-0.4323963,0.81783444,0.63576967,-0.20041218,-0.41812226,0.3490451,-0.36976534,-0.72321755,-0.9564559,0.9079696,0.2640455,-0.11029211,0.029299604,-0.3391194,0.8304573,-0.8211435,0.0522271,0.055447806,-0.8131915,-0.5165351,0.96189433,-0.20700026,0.030064803,-0.50718385,0.52308846,-0.64755106,0.14156492,-0.55429846,0.19582964,0.5062286,0.8871419,1.0197715,-0.5234976,-0.13951237,0.38544023,0.34714282,-0.712802,0.42146695,-0.69462615,-0.80301785,-1.4278575,0.16572747,-0.5664749,-0.53592527,1.1369478,0.35431996,0.3137309,-0.35346523,0.32115477,0.21968944,-0.0333456,0.55513066,-0.5550874,0.5956012,0.020960642,0.001823686,0.24731855,-0.13960907,0.19971703,-0.1275551,-0.20528963,-0.24933366
378,0.4296585,-0.21614033,0.024699658,0.22353217,0.15763922,-1.0910442,-0.5478246,-0.53561085,-1.0046027,-0.40201375,-0.7747967,-0.45379472,-0.07740644,1.000067,-0.0922648,-0.34712875,-0.86295974,0.98061883,0.91148335,0.13934672,-0.08385049,-0.9996856,0.71042603,0.55324966,0.5994777,-0.17973506,0.8833511,-0.34798205,0.27776685,-1.8281925,-0.59973806,0.15755746,-0.040442158,0.7425405,-0.70523214,-0.44710177,0.5879672,0.8593834,-0.76044756,-0.8788565,-0.26462865,-0.15457785,-0.80284303,-1.0157514,0.2918416,-0.25190386,-0.42065552,-0.1518345,0.19078954,0.16313991,0.040731806,1.1660584,2.549472,0.5428453,-0.0637698,-0.025122149,1.408571,-0.03353855,-0.43476036,-0.6112471,-1.5308309,0.5724325,0.05724162,-1.316339
393,0.8674345,-0.131304,-0.71398616,0.061412018,0.11305882,-0.14150941,-0.82889026,-0.014853885,-0.66766524,-0.20572503,-0.514918,-0.19615854,0.52912843,0.2675303,-0.44429255,0.10582501,0.21837771,0.533674,0.025150223,-0.0779772,-0.0040195743,-0.5301115,1.5510862,0.38564003,0.30483964,-0.10742671,0.45474678,0.21393791,0.11607673,-0.88660544,0.44662064,0.44477412,-0.27949855,0.5018352,-0.7741406,-0.43835858,0.45360455,0.7794603,-0.70029837,-0.609462,0.4216615,-0.83797926,-0.9567058,-0.68248534,0.26887926,-0.074372366,0.21588533,0.24920174,-0.4028375,0.11844922,0.49043646,0.38541117,1.3484102,0.51618624,-0.6846122,0.012652447,0.9821636,-0.030285291,-0.94163036,0.0020497122,-1.3186555,0.45055395,0.016888019,-0.4202844
403,1.4117569,-0.8204087,0.16040689,0.33771527,0.20057526,-0.8196685,0.16485186,0.25961766,0.041278202,-0.14119464,-0.6237386,0.18339115,0.16551225,0.01598174,-0.08683331,-0.5003969,0.14914177,-0.21019183,0.29180098,-0.4362963,-0.6611866,-0.26520714,0.525622,0.60118777,0.04249522,-1.0718722,0.6608038,-0.46702224,0.061156962,-0.7698094,0.9038246,0.77271664,0.8346811,0.9679233,-0.03306824,-0.51561356,0.4328188,0.4995642,-0.108123116,-0.37613153,-0.27664608,-0.84235173,-0.9721924,-0.3100003,-0.31322327,-0.09528528,0.62894017,0.16557081,-0.030897602,-0.57073814,0.046718307,0.181811,0.7367969,0.9343643,-0.3651329,0.7811089,0.17650034,0.09624207,0.21935372,-0.19206731,-0.08702827,-0.049784716,-0.20332542,0.33979794
406,0.91063595,-0.1446346,-0.37842694,0.9606852,-0.0979428,-0.32525438,-0.6369743,0.41968602,-0.53808355,-0.5634258,-0.083161466,0.97203827,0.46162847,-0.10255326,-0.5683547,-0.36479184,1.2183347,-0.85409856,-0.40995827,0.11447596,-0.6677745,-0.87976944,1.0395148,-0.15017171,-0.21649827,-0.5407339,0.65102047,-0.46281406,0.6828523,-0.42254195,1.0166285,0.34338143,-0.08403626,1.3467313,-0.021522889,-0.075105235,0.26109505,0.78598017,-0.64090544,0.23766819,-0.19694594,-1.6751087,-1.0457691,-0.31306076,-0.41539708,0.095418856,0.9009543,0.38726857,-0.29023802,-0.263625,0.57568467,0.4268243,0.6597765,0.70133376,-0.49753007,-0.005821916,0.3072573,-0.34382528,-0.66666317,0.30581015,-0.1884264,-0.12075932,-0.47710255,-0.82264024
408,0.94160163,-0.6020941,-0.21585216,0.32688886,0.5208412,-0.6195667,0.15491249,0.30430827,-0.42552456,-0.8633777,-0.22718765,0.6153705,-0.06859019,-0.08172918,-0.50331324,-0.54502255,0.018555054,-0.024604516,0.28486475,-0.066556856,-0.79721546,0.15478665,0.40977067,0.21100007,0.3703637,-0.43146607,1.1543622,-0.48787996,0.043978915,-0.04178248,0.7911119,0.8523393,0.60422736,1.0448303,0.015094995,-0.62841105,0.1442902,0.081103094,-0.021175364,-0.9617576,0.11312226,-0.23882826,-0.4763687,0.039787833,-0.7627216,-0.19481765,0.79673773,-0.05332132,-0.11996075,-0.1731865,0.82345057,-0.06158735,0.487215,0.8321364,0.030551102,0.32782233,0.4543203,-0.3564606,-0.15373135,-0.1271256,0.09647532,-0.24662231,-0.8170487,0.33800632
410,0.7275234,-0.41413102,-0.13853799,0.36282024,0.2899382,-1.0261884,-0.73581797,-0.18398692,-0.89567363,-0.18797955,-1.1185352,-0.32217532,-0.48449007,0.8178361,-0.11267665,-0.3674486,-0.511374,0.91910607,0.52626526,-0.35587573,-0.43412444,-1.1188065,0.7375156,0.9402699,0.14100468,-0.49666727,0.36587077,-0.1107065,0.16078594,-1.2994399,-0.28170797,0.89517283,-0.13176674,0.23837428,-0.6606514,-0.34115785,0.10157451,0.41262257,-0.17096238,-0.93303937,-0.2336693,-0.26273954,-0.7449725,-0.9478254,0.3332224,0.15723684,-0.17649713,0.34322187,-0.22788957,0.22588749,0.35954553,0.5146034,1.4318833,0.15398602,-0.06246671,-0.20148057,1.0518807,0.35008577,-0.39931047,-0.15710832,-1.3858312,0.6198062,-0.027392121,-0.86721593
